24-May-2016,OPT-CNXBAN-30-Jun-2016-15500-P-E-I,NSE,Sell,30,125,3750,#201605241800005060,1,2.14,0.4,0.01,95,13.78,112.33,3637.67
20-May-2016,OPT-CNXBAN-30-Jun-2016-15000-P-E-I,NSE,Sell,30,73,2190,#201605201800002085,0,1.25,0.22,0,95,13.78,110.25,2079.75
18-May-2016,OPT-NIFTY-30-Jun-2016-7300-P-E-I,NSE,Sell,75,32,2400,#201605181800005332,0,1.37,0,0,95,13.78,110.15,2289.85
18-May-2016,OPT-NIFTY-26-May-2016-8300-C-E-I,NSE,Buy,75,1.35,101.25,#201605181800005295,0,0.06,0.25,0,95,13.78,109.09,-210.34
16-May-2016,OPT-NIFTY-30-Jun-2016-7300-P-E-I,NSE,Sell,75,41,3075,#201605161800005771,1,1.75,0.31,0.01,95,13.78,111.85,2963.15
13-May-2016,OPT-NIFTY-26-May-2016-7600-P-E-I,NSE,Sell,75,28.5,2137.5,#201605131800012423,0.36,1.22,0,0,95,13.78,110.36,2027.14
13-May-2016,OPT-NIFTY-30-Jun-2016-7300-P-E-I,NSE,Sell,75,36.2,2715,#201605131800003676,0.64,1.55,0.48,0.01,95,13.78,111.46,2603.54
10-May-2016,OPT-NIFTY-30-Jun-2016-8400-C-E-I,NSE,Sell,75,29,2175,#201605101600011375,0,1.24,0.22,0,95,13.78,110.24,2064.76
18-Apr-2016,OPT-NIFTY-28-Apr-2016-7100-P-E-I,NSE,Buy,75,2.7,202.5,#201604181400005369,0,0.12,0,0,95,13.78,108.9,-311.4
18-Apr-2016,OPT-NIFTY-28-Apr-2016-7000-P-E-I,NSE,Buy,150,2.25,337.5,#201604181400005281,0,0.19,0.78,0,190,27.55,218.52,-556.02
18-Apr-2016,OPT-NIFTY-28-Apr-2016-7700-P-E-I,NSE,Sell,150,33,4950,#201604181400004854,0.62,2.82,0,0,190,27.56,221,4729
18-Apr-2016,OPT-NIFTY-26-May-2016-8300-C-E-I,NSE,Sell,75,30,2250,#201604181400003972,0.38,1.28,0,0,95,13.78,110.44,2139.56
12-Apr-2016,OPT-NIFTY-26-May-2016-8200-C-E-I,NSE,Sell,75,21,1575,#201604121400006751,0,0.9,0.16,0,95,13.78,109.84,1465.16
30-Jun-2016,OPT-CNXBAN-30-Jun-2016-15000-P-E-I,NSE,Sell Closeout,30,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
30-Jun-2016,OPT-CNXBAN-30-Jun-2016-15500-P-E-I,NSE,Sell Closeout,30,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
28-Apr-2016,OPT-NIFTY-28-Apr-2016-8100-C-E-I,NSE,Sell Closeout,75,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
28-Apr-2016,OPT-NIFTY-28-Apr-2016-8200-C-E-I,NSE,Sell Closeout,150,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
28-Apr-2016,OPT-NIFTY-28-Apr-2016-7700-P-E-I,NSE,Sell Closeout,150,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
26-May-2016,OPT-NIFTY-26-May-2016-8200-C-E-I,NSE,Sell Closeout,75,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
30-Jun-2016,OPT-NIFTY-30-Jun-2016-8400-C-E-I,NSE,Sell Closeout,75,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
25-Aug-2016,OPT-NIFTY-25-Aug-2016-8900-C-E-I,NSE,Sell Closeout,150,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
29-Sep-2016,OPT-NIFTY-29-Sep-2016-9000-C-E-I,NSE,Sell Closeout,150,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
29-Sep-2016,OPT-NIFTY-29-Sep-2016-8200-P-E-I,NSE,Sell Closeout,150,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
29-Sep-2016,OPT-NIFTY-29-Sep-2016-8500-P-E-I,NSE,Sell Closeout,150,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
24-Nov-2016,OPT-NIFTY-24-Nov-2016-9100-C-E-I,NSE,Sell Closeout,150,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
25-Jan-2017,OPT-NIFTY-25-Jan-2017-7700-P-E-I,NSE,Sell Closeout,150,0,0,#Exchange Initiated,0,0,0,0,0,0,0,0
